station,station_longitude,station_latitude,area,bottom_depth
117,-122.1083,36.7,Monterey Bay Outside,1640
124,-122.375,36.9833,Davenport,132
131,-122.5667,37.275,Pescadero,85
132,-122.65,37.275,Pescadero,96
134,-122.9833,37.275,Pescadero,513
152,-123.0417,37.6583,Farallones Outside,98
156,-123.1383,37.7433,Farallones Outside,113
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,95
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,471
134,-122.9833,37.275,Pescadero,462
167,-123.1667,38.1667,Point Reyes,91
170,-123.3667,38.1667,Point Reyes,177
139,-122.8667,37.7917,Gulf of the Farallones,54
138,-122.9083,37.7,Gulf of the Farallones,56
114,-121.8667,36.7667,Monterey Bay Inside,84
112,-121.9467,36.655,Monterey Bay Inside,78
110,-122.175,36.5833,Monterey Bay Outside,2101
117,-122.1083,36.7,Monterey Bay Outside,1719
124,-122.375,36.9833,Davenport,142
131,-122.5667,37.275,Pescadero,85
131,-122.5667,37.275,Pescadero,85
132,-122.65,37.275,Pescadero,96
134,-122.9833,37.275,Pescadero,548
152,-123.0417,37.6583,Farallones Outside,111
156,-123.1383,37.7433,Farallones Outside,73
170,-123.3667,38.1667,Point Reyes,197
167,-123.1667,38.1667,Point Reyes,89
139,-122.8667,37.7917,Gulf of the Farallones,56
114,-121.8667,36.7667,Monterey Bay Inside,50
110,-122.175,36.5833,Monterey Bay Outside,2333
117,-122.1083,36.7,Monterey Bay Outside,1890
124,-122.375,36.9833,Davenport,128
127,-122.7583,36.9833,Davenport,1250
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,499
152,-123.0417,37.6583,Farallones Outside,102
156,-123.1383,37.7433,Farallones Outside,100
167,-123.1667,38.1667,Point Reyes,96
138,-122.9083,37.7,Gulf of the Farallones,54
114,-121.8667,36.7667,Monterey Bay Inside,199
112,-121.9467,36.655,Monterey Bay Inside,80
110,-122.175,36.5833,Monterey Bay Outside,2286
117,-122.1083,36.7,Monterey Bay Outside,1781
124,-122.375,36.9833,Davenport,179
127,-122.7583,36.9833,Davenport,985
131,-122.5667,37.275,Pescadero,84
132,-122.65,37.275,Pescadero,95
134,-122.9833,37.275,Pescadero,501
152,-123.0417,37.6583,Farallones Outside,104
156,-123.1383,37.7433,Farallones Outside,106
