station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -150.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -40.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -80.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -2.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -10.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -20.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -200.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -60.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -100.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -250.0 m)","http://mmisw.org/ont/cf/parameter/sea_water_temperature (degree_Fahrenheit)( -5.0 m)"
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-09T00:00:00Z,48.43458900451651,53.636999893188374,50.90756511688227,56.20546951293937,56.201758193969624,56.08518981933588,47.308294677734295,51.81819782257071,49.88986034393304,46.91924133300773,56.20450134277331
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-10T00:00:00Z,48.039209938049225,54.39056758880605,50.99122257232659,56.2452022552489,56.25241718292233,56.23192253112785,47.18618335723869,52.42085800170895,49.819477462768475,46.56384563446039,56.24910755157458
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-11T00:00:00Z,48.13167018890374,54.75625095367428,52.36879310607907,56.31573791503894,56.31760215759272,56.25708808898918,46.65418930053704,53.3412771224975,51.1382453918456,46.26672897338858,56.3170202255248
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-12T00:00:00Z,47.95376548767081,54.67562847137441,53.44436149597158,56.509835433959836,56.50941829681386,56.40827541351308,47.49911003112783,53.517801666259686,52.49642505645744,45.96833257675161,56.51150913238513
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-13T00:00:00Z,48.57568435668935,54.59808559417712,52.25009784698477,56.3593261718749,56.365312004089276,56.42416095733637,47.83011951446525,53.101006126403774,51.633824920654206,46.337227725982586,56.36248130798327
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-14T00:00:00Z,49.06498279571525,54.98330745697018,52.170158576965264,56.107371902465786,56.1097562789916,56.14165782928461,47.66607475280756,53.181271553039494,51.43391494750966,46.62624797821036,56.10964813232414
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-15T00:00:00Z,49.41145725250237,55.12284412384025,52.25515499114982,55.973299217223996,55.96937503814689,55.939039039611714,48.03710536956777,53.42034263610827,51.379134368896416,46.82042961120595,55.97468624114987
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-16T00:00:00Z,51.20853214263906,55.67500667572011,54.72924175262443,55.72338771820063,55.72603988647455,55.72302551269519,49.8773084640502,55.45839920043937,53.48799095153805,47.91025276184075,55.72526741027826
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-17T00:00:00Z,51.20322265624992,55.30696296691889,54.01829757690422,55.385489463806096,55.37994480133051,55.377764701843205,49.35400562286367,54.91846408843986,53.360103225707974,47.727419662475484,55.382696533203045
urn:ioos:station:UCSC,urn:ioos:sensor:UCSC:temp,36.5833,-122.175,2019-01-18T00:00:00Z,51.623030853271416,56.028634262084836,54.425172805786076,56.06924419403066,56.113125991821164,56.338472747802655,49.32792339324942,55.2787246704101,53.62657661437976,47.883471870422284,56.069074249267544
